time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,1.836608130656618e-08,1.1488742641873446e-06,10.003864430675625,0.0007888230141182007,6.283161283766049,0.0,1.8757297331277854e-06,8.888214068929007e-05,0.1288077515580307,0.03128492017076104,-0.0012135143652008717,0.0,446.1137141377715,446.0146428830412,444.54936060748554,447.10500816942573
0.12000000000000001,-3.121862399564199e-07,2.6545220441837545e-05,10.011354401798235,0.0029618831084219366,0.0007986917445688135,0.0,-5.379337840639506e-05,0.0009331390037687259,0.120858660350877,0.044603003160102794,0.033513127890487944,0.0,400.11925597820795,403.2678035185954,400.1230516883829,401.3342002364632
0.18,-2.8002739552321442e-05,0.0001549324983881714,10.021909328188231,0.005513228455169106,0.0026562805339489515,0.0,-0.0010699938172756707,0.003617298580217895,0.2309543026863993,0.03799909179317389,0.02529079707589651,0.0,440.0039327968935,439.3231581853442,440.845586898329,440.3006715601994
0.23999999999999996,-0.00016042152022191058,0.0005095129272618795,10.041284470170991,0.007421521927232,0.004312795295585481,0.0,-0.0035258420882278555,0.008446423163709589,0.4148322848152459,0.015018147338484692,0.03188150592466531,0.0,462.5626070969437,463.0814030431669,463.74813164512443,461.94009348737995
0.3,-0.00047466192319219985,0.0011829672423597838,10.070486663178059,0.00798546600250738,0.006377418864068396,0.0,-0.007164763756817601,0.014084763282385603,0.5585125854842978,-0.005269142024322437,0.03904010620528718,0.0,449.7671736437342,450.34696079437964,452.27702686705135,450.6402824998918
0.36000000000000004,-0.001061173214412416,0.002208733995443198,10.109133134141674,0.007666265221002,0.009582791136355517,0.0,-0.012707782469037688,0.020070926845865547,0.7296069473739716,-0.005421954457767987,0.07272490733678193,0.0,457.9137245300065,460.5867305169125,459.2857586184703,459.27373460901333
0.4200000000000001,-0.0020502013935252425,0.0035785868648765063,10.157035455964198,0.007062309409472611,0.014136883335064354,0.0,-0.020739089968240216,0.02554239640697041,0.8670374450064209,-0.021510987250150607,0.08159561023893391,0.0,449.70678275596447,450.4290830306117,448.9901654393267,447.68323718109013
0.48000000000000015,-0.0036533496573584864,0.00527349532039328,10.21521130002009,0.005502399167453653,0.019450937844169403,0.0,-0.03329989666656094,0.030788103228929734,1.071978925338509,-0.036961363428055595,0.0997551355913598,0.0,469.33402175475635,470.7470894091688,470.22069065520685,469.02228586757224
0.5400000000000001,-0.006104253141430409,0.0072327674651387,10.283853484984569,0.003376526294220916,0.02485034258111707,0.0,-0.04903487141540459,0.034284642865798014,1.215938630022665,-0.03253485749325892,0.04909300897249751,0.0,453.2400141117391,449.15604240156756,452.3133405727064,452.6691164850081
0.6000000000000002,-0.009562308394589101,0.009351030352591248,10.359464613983471,0.001060378313170851,0.02775943996962127,0.0,-0.06652484608314889,0.036113924005458375,1.3043278306855262,-0.05490327217312252,0.047240680432974705,0.0,434.92600849086637,434.77235797440255,435.61434423830644,433.73912289629004
0.6600000000000003,-0.01407580318771627,0.011526353643585499,10.438492510783874,6.281210350809367,0.031165041620916156,0.0,-0.08421247735246694,0.03610988681925401,1.3298969585146196,-0.043120097234137206,0.0710630815244251,0.0,413.87335271596766,415.9669101131839,413.42429324614966,414.45923126950777
0.7200000000000003,-0.019853629663656308,0.013637860612073895,10.523310415536722,6.279100304695886,0.035372845860366375,0.0,-0.10884967974552931,0.03401514682118447,1.497145097972969,-0.022729896301808748,0.06819659002247158,0.0,459.72174580006003,459.4981548439375,458.79295053092244,460.4082813444767
0.7800000000000004,-0.02707330112022653,0.015596010545335987,10.614530635149896,6.277615736671091,0.03910172373668441,0.0,-0.13217579372930455,0.031123232931977763,1.5434516208378275,-0.029106933778491478,0.045923260838714314,0.0,422.8060464082158,420.8857723274287,422.27882408127937,421.7282768275709
0.8400000000000004,-0.035860264047993154,0.01733662761190598,10.711082261955609,6.276336829788775,0.04146679619953986,0.0,-0.1609945586705231,0.026740785829362207,1.6747386113212084,-0.009076416645834546,0.0213991463358129,0.0,450.2234746300512,448.2357633060723,448.4378383100735,450.0617921554785
0.9000000000000005,-0.046360437098962065,0.0188010593299034,10.814035739884536,6.275541343589268,0.04298140541172302,0.0,-0.18914682402227886,0.022009667636891193,1.756912612948457,-0.023309294897574523,0.03199554276472061,0.0,433.34495304977656,434.2348270912218,435.18351685662265,433.99070725722174
0.9600000000000005,-0.058580607157530024,0.0199628802897459,10.921868913770815,6.274073915144765,0.045090350213806474,0.0,-0.21838792876664767,0.016576905135049915,1.8373879274355536,-0.026857442050388022,0.040807736617814436,0.0,434.05759788481083,434.7970096353419,433.5965998325257,433.2983320095774
1.0200000000000005,-0.07268560027858278,0.020751151185990895,11.036417135823346,6.272781365192792,0.047241764253623586,0.0,-0.2520208311769426,0.009545656611966142,1.9806322536657308,-0.012606100179792266,0.023445774426574584,0.0,454.7225816648599,453.33023684084367,453.26864254941376,454.4124030296099
1.0800000000000005,-0.08877525222912605,0.021109256553835026,11.157940831935921,6.27177738787957,0.04882806956792152,0.0,-0.2844457583858135,0.0023062847679952976,2.0699880970763336,-0.026623470412146338,0.03183625241430951,0.0,437.1773702562379,437.87605079208066,438.3269153000592,437.1605800339647
1.1400000000000006,-0.1067418719483638,0.02103440670830371,11.282702329165168,6.270249966641217,0.051870290395989116,0.0,-0.31467747030748805,-0.004941131736036204,2.088677076675982,-0.023220914863912402,0.07377348615108581,0.0,413.4736504677214,417.1533190757652,414.3644442277397,414.6632738050073
